"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Old Klang Road,West Court Apartment @ Taman Sri Sentosa","Bukit Bintang, Kuala Lumpur",8861,8.861,5.5062254,881,14.6833333333333,0.244722222222222,"driving"
"Kuala Lumpur - Mont Kiara,One Mont Kiara (1 Mont Kiara)","Kuala Lumpur, TRX",12766,12.766,7.9327924,1168,19.4666666666667,0.324444444444444,"driving"
"Kuala Lumpur - Mont Kiara,One Mont Kiara (1 Mont Kiara)","Kuala Lumpur City Centre",10265,10.265,6.378671,957,15.95,0.265833333333333,"driving"
"Kuala Lumpur - Mont Kiara,One Mont Kiara (1 Mont Kiara)","Bukit Bintang, Kuala Lumpur",12011,12.011,7.4636354,1058,17.6333333333333,0.293888888888889,"driving"
"Kuala Lumpur - Sentul,Fully Furnished Desa Sentul Village 1054sqft Service Apartment- UOA","Kuala Lumpur, TRX",11010,11.01,6.841614,1166,19.4333333333333,0.323888888888889,"driving"
"Kuala Lumpur - Sentul,Fully Furnished Desa Sentul Village 1054sqft Service Apartment- UOA","Kuala Lumpur City Centre",10742,10.742,6.6750788,1188,19.8,0.33,"driving"
"Kuala Lumpur - Sentul,Fully Furnished Desa Sentul Village 1054sqft Service Apartment- UOA","Bukit Bintang, Kuala Lumpur",10829,10.829,6.7291406,1189,19.8166666666667,0.330277777777778,"driving"
"Kuala Lumpur - Segambut,Villa Orkid","Kuala Lumpur, TRX",14360,14.36,8.923304,1578,26.3,0.438333333333333,"driving"
"Kuala Lumpur - Segambut,Villa Orkid","Kuala Lumpur City Centre",11235,11.235,6.981429,1406,23.4333333333333,0.390555555555556,"driving"
"Kuala Lumpur - Segambut,Villa Orkid","Bukit Bintang, Kuala Lumpur",13170,13.17,8.183838,1507,25.1166666666667,0.418611111111111,"driving"
"Kuala Lumpur - Cheras,taman miharja phase 1 flat","Kuala Lumpur, TRX",4780,4.78,2.970292,662,11.0333333333333,0.183888888888889,"driving"
"Kuala Lumpur - Cheras,taman miharja phase 1 flat","Kuala Lumpur City Centre",4202,4.202,2.6111228,585,9.75,0.1625,"driving"
"Kuala Lumpur - Cheras,taman miharja phase 1 flat","Bukit Bintang, Kuala Lumpur",4026,4.026,2.5017564,552,9.2,0.153333333333333,"driving"
"Kuala Lumpur - Gombak,","Kuala Lumpur, TRX",20236,20.236,12.5746504,1666,27.7666666666667,0.462777777777778,"driving"
"Kuala Lumpur - Gombak,","Kuala Lumpur City Centre",17111,17.111,10.6327754,1493,24.8833333333333,0.414722222222222,"driving"
"Kuala Lumpur - Gombak,","Bukit Bintang, Kuala Lumpur",19045,19.045,11.834563,1594,26.5666666666667,0.442777777777778,"driving"
"Kuala Lumpur - KL City,Brunsfield EmbassyView","Kuala Lumpur, TRX",4166,4.166,2.5887524,680,11.3333333333333,0.188888888888889,"driving"
"Kuala Lumpur - KL City,Brunsfield EmbassyView","Kuala Lumpur City Centre",5409,5.409,3.3611526,1109,18.4833333333333,0.308055555555556,"driving"
"Kuala Lumpur - KL City,Brunsfield EmbassyView","Bukit Bintang, Kuala Lumpur",3985,3.985,2.476279,703,11.7166666666667,0.195277777777778,"driving"
"Kuala Lumpur - Ampang,Hon Residensi @ City Garden Commercial Centre","Kuala Lumpur, TRX",6255,6.255,3.886857,858,14.3,0.238333333333333,"driving"
"Kuala Lumpur - Ampang,Hon Residensi @ City Garden Commercial Centre","Kuala Lumpur City Centre",11270,11.27,7.003178,952,15.8666666666667,0.264444444444444,"driving"
"Kuala Lumpur - Ampang,Hon Residensi @ City Garden Commercial Centre","Bukit Bintang, Kuala Lumpur",5688,5.688,3.5345232,848,14.1333333333333,0.235555555555556,"driving"
"Kuala Lumpur - Taman Melawati,Putra Villa","Kuala Lumpur, TRX",17989,17.989,11.1783646,1472,24.5333333333333,0.408888888888889,"driving"
"Kuala Lumpur - Taman Melawati,Putra Villa","Kuala Lumpur City Centre",17722,17.722,11.0124508,1494,24.9,0.415,"driving"
"Kuala Lumpur - Taman Melawati,Putra Villa","Bukit Bintang, Kuala Lumpur",17808,17.808,11.0658912,1495,24.9166666666667,0.415277777777778,"driving"
"Kuala Lumpur - Pandan Jaya,Pandan Jaya H5 Apartment","Kuala Lumpur, TRX",4564,4.564,2.8360696,683,11.3833333333333,0.189722222222222,"driving"
"Kuala Lumpur - Pandan Jaya,Pandan Jaya H5 Apartment","Kuala Lumpur City Centre",9178,9.178,5.7032092,871,14.5166666666667,0.241944444444444,"driving"
"Kuala Lumpur - Pandan Jaya,Pandan Jaya H5 Apartment","Bukit Bintang, Kuala Lumpur",3997,3.997,2.4837358,674,11.2333333333333,0.187222222222222,"driving"
"Kuala Lumpur - Ampang Hilir,D’Suria Condo Taman Duta Suria Ampang","Kuala Lumpur, TRX",6858,6.858,4.2615612,844,14.0666666666667,0.234444444444444,"driving"
"Kuala Lumpur - Ampang Hilir,D’Suria Condo Taman Duta Suria Ampang","Kuala Lumpur City Centre",11428,11.428,7.1013592,925,15.4166666666667,0.256944444444444,"driving"
"Kuala Lumpur - Ampang Hilir,D’Suria Condo Taman Duta Suria Ampang","Bukit Bintang, Kuala Lumpur",6291,6.291,3.9092274,834,13.9,0.231666666666667,"driving"
"Kuala Lumpur - Mid Valley City,D'Sands Residence @ Old Klang Road","Kuala Lumpur, TRX",12719,12.719,7.9035866,1083,18.05,0.300833333333333,"driving"
"Kuala Lumpur - Mid Valley City,D'Sands Residence @ Old Klang Road","Kuala Lumpur City Centre",9952,9.952,6.1841728,1034,17.2333333333333,0.287222222222222,"driving"
"Kuala Lumpur - Mid Valley City,D'Sands Residence @ Old Klang Road","Bukit Bintang, Kuala Lumpur",12152,12.152,7.5512528,1073,17.8833333333333,0.298055555555556,"driving"
"Kuala Lumpur - Mid Valley City,","Kuala Lumpur, TRX",9386,9.386,5.8324604,1085,18.0833333333333,0.301388888888889,"driving"
"Kuala Lumpur - Mid Valley City,","Kuala Lumpur City Centre",6604,6.604,4.1037256,823,13.7166666666667,0.228611111111111,"driving"
"Kuala Lumpur - Mid Valley City,","Bukit Bintang, Kuala Lumpur",8632,8.632,5.3639248,976,16.2666666666667,0.271111111111111,"driving"
"Kuala Lumpur - Kuchai Lama,Block 1","Kuala Lumpur, TRX",9400,9.4,5.84116,877,14.6166666666667,0.243611111111111,"driving"
"Kuala Lumpur - Kuchai Lama,Block 1","Kuala Lumpur City Centre",8863,8.863,5.5074682,874,14.5666666666667,0.242777777777778,"driving"
"Kuala Lumpur - Kuchai Lama,Block 1","Bukit Bintang, Kuala Lumpur",8833,8.833,5.4888262,868,14.4666666666667,0.241111111111111,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi, Mont Kiara","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi, Mont Kiara","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi, Mont Kiara","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim @ Cheras","Kuala Lumpur, TRX",10896,10.896,6.7707744,1072,17.8666666666667,0.297777777777778,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim @ Cheras","Kuala Lumpur City Centre",10319,10.319,6.4122266,996,16.6,0.276666666666667,"driving"
"Kuala Lumpur - Cheras,Majestic Maxim @ Cheras","Bukit Bintang, Kuala Lumpur",10142,10.142,6.3022388,962,16.0333333333333,0.267222222222222,"driving"
"Kuala Lumpur - Bukit Bintang,The Manhattan","Kuala Lumpur, TRX",1878,1.878,1.1669892,404,6.73333333333333,0.112222222222222,"driving"
"Kuala Lumpur - Bukit Bintang,The Manhattan","Kuala Lumpur City Centre",1967,1.967,1.2222938,471,7.85,0.130833333333333,"driving"
"Kuala Lumpur - Bukit Bintang,The Manhattan","Bukit Bintang, Kuala Lumpur",1465,1.465,0.910351,387,6.45,0.1075,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Inspirasi","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Inspirasi","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Mont Kiara Inspirasi","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Solaris Dutamas,Solasta Dutamas","Kuala Lumpur, TRX",12186,12.186,7.5723804,1038,17.3,0.288333333333333,"driving"
"Kuala Lumpur - Solaris Dutamas,Solasta Dutamas","Kuala Lumpur City Centre",9686,9.686,6.0188804,827,13.7833333333333,0.229722222222222,"driving"
"Kuala Lumpur - Solaris Dutamas,Solasta Dutamas","Bukit Bintang, Kuala Lumpur",11432,11.432,7.1038448,929,15.4833333333333,0.258055555555556,"driving"
"Kuala Lumpur - Kepong,Fadason Service Apartments","Kuala Lumpur, TRX",15285,15.285,9.498099,1429,23.8166666666667,0.396944444444444,"driving"
"Kuala Lumpur - Kepong,Fadason Service Apartments","Kuala Lumpur City Centre",12161,12.161,7.5568454,1256,20.9333333333333,0.348888888888889,"driving"
"Kuala Lumpur - Kepong,Fadason Service Apartments","Bukit Bintang, Kuala Lumpur",14095,14.095,8.758633,1358,22.6333333333333,0.377222222222222,"driving"
"Kuala Lumpur - Mont Kiara,RESIDENSI INSPIRASI MONT KIARA (JALAN KIARA 4)","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,RESIDENSI INSPIRASI MONT KIARA (JALAN KIARA 4)","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,RESIDENSI INSPIRASI MONT KIARA (JALAN KIARA 4)","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Taman Desa,Papillon Desahill","Kuala Lumpur, TRX",9683,9.683,6.0170162,1037,17.2833333333333,0.288055555555556,"driving"
"Kuala Lumpur - Taman Desa,Papillon Desahill","Kuala Lumpur City Centre",7879,7.879,4.8960106,922,15.3666666666667,0.256111111111111,"driving"
"Kuala Lumpur - Taman Desa,Papillon Desahill","Bukit Bintang, Kuala Lumpur",9116,9.116,5.6646824,1028,17.1333333333333,0.285555555555556,"driving"
"Kuala Lumpur - Kuchai Lama,Residensi Desa","Kuala Lumpur, TRX",10472,10.472,6.5073008,1078,17.9666666666667,0.299444444444444,"driving"
"Kuala Lumpur - Kuchai Lama,Residensi Desa","Kuala Lumpur City Centre",9936,9.936,6.1742304,1074,17.9,0.298333333333333,"driving"
"Kuala Lumpur - Kuchai Lama,Residensi Desa","Bukit Bintang, Kuala Lumpur",9905,9.905,6.154967,1068,17.8,0.296666666666667,"driving"
"Kuala Lumpur - Cheras,Taman Ikan Emas Cheras","Kuala Lumpur, TRX",8151,8.151,5.0650314,1086,18.1,0.301666666666667,"driving"
"Kuala Lumpur - Cheras,Taman Ikan Emas Cheras","Kuala Lumpur City Centre",7574,7.574,4.7064836,1009,16.8166666666667,0.280277777777778,"driving"
"Kuala Lumpur - Cheras,Taman Ikan Emas Cheras","Bukit Bintang, Kuala Lumpur",7397,7.397,4.5964958,976,16.2666666666667,0.271111111111111,"driving"
"Kuala Lumpur - Taman Melawati,Melawati Hillside Apartment","Kuala Lumpur, TRX",15852,15.852,9.8504328,1411,23.5166666666667,0.391944444444444,"driving"
"Kuala Lumpur - Taman Melawati,Melawati Hillside Apartment","Kuala Lumpur City Centre",20422,20.422,12.6902308,1492,24.8666666666667,0.414444444444444,"driving"
"Kuala Lumpur - Taman Melawati,Melawati Hillside Apartment","Bukit Bintang, Kuala Lumpur",15285,15.285,9.498099,1401,23.35,0.389166666666667,"driving"
"Kuala Lumpur - Desa Pandan,Pangsapuri PandanMas 2","Kuala Lumpur, TRX",4460,4.46,2.771444,603,10.05,0.1675,"driving"
"Kuala Lumpur - Desa Pandan,Pangsapuri PandanMas 2","Kuala Lumpur City Centre",9641,9.641,5.9909174,898,14.9666666666667,0.249444444444444,"driving"
"Kuala Lumpur - Desa Pandan,Pangsapuri PandanMas 2","Bukit Bintang, Kuala Lumpur",3893,3.893,2.4191102,593,9.88333333333333,0.164722222222222,"driving"
"Kuala Lumpur - Setapak,100 Residency","Kuala Lumpur, TRX",9825,9.825,6.105255,1129,18.8166666666667,0.313611111111111,"driving"
"Kuala Lumpur - Setapak,100 Residency","Kuala Lumpur City Centre",9524,9.524,5.9182136,1141,19.0166666666667,0.316944444444444,"driving"
"Kuala Lumpur - Setapak,100 Residency","Bukit Bintang, Kuala Lumpur",9644,9.644,5.9927816,1153,19.2166666666667,0.320277777777778,"driving"
"Kuala Lumpur - Kepong,Ria Apartment Taman Daya Jinjang Good condition","Kuala Lumpur, TRX",23276,23.276,14.4637064,1826,30.4333333333333,0.507222222222222,"driving"
"Kuala Lumpur - Kepong,Ria Apartment Taman Daya Jinjang Good condition","Kuala Lumpur City Centre",17886,17.886,11.1143604,1654,27.5666666666667,0.459444444444444,"driving"
"Kuala Lumpur - Kepong,Ria Apartment Taman Daya Jinjang Good condition","Bukit Bintang, Kuala Lumpur",19821,19.821,12.3167694,1755,29.25,0.4875,"driving"
"Kuala Lumpur - Kepong,Pelangi Magna","Kuala Lumpur, TRX",16370,16.37,10.172318,1720,28.6666666666667,0.477777777777778,"driving"
"Kuala Lumpur - Kepong,Pelangi Magna","Kuala Lumpur City Centre",13245,13.245,8.230443,1547,25.7833333333333,0.429722222222222,"driving"
"Kuala Lumpur - Kepong,Pelangi Magna","Bukit Bintang, Kuala Lumpur",15180,15.18,9.432852,1649,27.4833333333333,0.458055555555556,"driving"
"Kuala Lumpur - Sungai Besi,Idaman abadi","Kuala Lumpur, TRX",15713,15.713,9.7640582,1355,22.5833333333333,0.376388888888889,"driving"
"Kuala Lumpur - Sungai Besi,Idaman abadi","Kuala Lumpur City Centre",14223,14.223,8.8381722,1297,21.6166666666667,0.360277777777778,"driving"
"Kuala Lumpur - Sungai Besi,Idaman abadi","Bukit Bintang, Kuala Lumpur",15146,15.146,9.4117244,1345,22.4166666666667,0.373611111111111,"driving"
"Kuala Lumpur - Jalan Sultan Ismail,The Crest Jalan Sultan Ismail","Kuala Lumpur, TRX",2807,2.807,1.7442698,609,10.15,0.169166666666667,"driving"
"Kuala Lumpur - Jalan Sultan Ismail,The Crest Jalan Sultan Ismail","Kuala Lumpur City Centre",2945,2.945,1.830023,714,11.9,0.198333333333333,"driving"
"Kuala Lumpur - Jalan Sultan Ismail,The Crest Jalan Sultan Ismail","Bukit Bintang, Kuala Lumpur",2393,2.393,1.4870102,592,9.86666666666667,0.164444444444444,"driving"
"Kuala Lumpur - Mont Kiara,Aston Kiara 3, Mont Kiara","Kuala Lumpur, TRX",13689,13.689,8.5063446,1417,23.6166666666667,0.393611111111111,"driving"
"Kuala Lumpur - Mont Kiara,Aston Kiara 3, Mont Kiara","Kuala Lumpur City Centre",10564,10.564,6.5644696,1245,20.75,0.345833333333333,"driving"
"Kuala Lumpur - Mont Kiara,Aston Kiara 3, Mont Kiara","Bukit Bintang, Kuala Lumpur",12499,12.499,7.7668786,1346,22.4333333333333,0.373888888888889,"driving"
"Kuala Lumpur - Cheras,Batu 9 double story house","Kuala Lumpur, TRX",13851,13.851,8.6070114,1286,21.4333333333333,0.357222222222222,"driving"
"Kuala Lumpur - Cheras,Batu 9 double story house","Kuala Lumpur City Centre",13274,13.274,8.2484636,1209,20.15,0.335833333333333,"driving"
"Kuala Lumpur - Cheras,Batu 9 double story house","Bukit Bintang, Kuala Lumpur",13097,13.097,8.1384758,1176,19.6,0.326666666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Condominium in Mont Kiara","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Condominium in Mont Kiara","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Condominium in Mont Kiara","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Kepong,Damansara Sutera","Kuala Lumpur, TRX",22662,22.662,14.0821668,1796,29.9333333333333,0.498888888888889,"driving"
"Kuala Lumpur - Kepong,Damansara Sutera","Kuala Lumpur City Centre",19241,19.241,11.9563574,1545,25.75,0.429166666666667,"driving"
"Kuala Lumpur - Kepong,Damansara Sutera","Bukit Bintang, Kuala Lumpur",20987,20.987,13.0413218,1647,27.45,0.4575,"driving"
"Kuala Lumpur - Kepong,Platinum Splendor Residensi Semarak","Kuala Lumpur, TRX",6086,6.086,3.7818404,764,12.7333333333333,0.212222222222222,"driving"
"Kuala Lumpur - Kepong,Platinum Splendor Residensi Semarak","Kuala Lumpur City Centre",9449,9.449,5.8716086,1080,18,0.3,"driving"
"Kuala Lumpur - Kepong,Platinum Splendor Residensi Semarak","Bukit Bintang, Kuala Lumpur",5905,5.905,3.669367,788,13.1333333333333,0.218888888888889,"driving"
"Kuala Lumpur - Kuchai Lama,taman gembira kuchai lama","Kuala Lumpur, TRX",10264,10.264,6.3780496,984,16.4,0.273333333333333,"driving"
"Kuala Lumpur - Kuchai Lama,taman gembira kuchai lama","Kuala Lumpur City Centre",9728,9.728,6.0449792,980,16.3333333333333,0.272222222222222,"driving"
"Kuala Lumpur - Kuchai Lama,taman gembira kuchai lama","Bukit Bintang, Kuala Lumpur",9697,9.697,6.0257158,974,16.2333333333333,0.270555555555556,"driving"
"Kuala Lumpur - Kepong,Ivory","Kuala Lumpur, TRX",16649,16.649,10.3456886,1595,26.5833333333333,0.443055555555556,"driving"
"Kuala Lumpur - Kepong,Ivory","Kuala Lumpur City Centre",13524,13.524,8.4038136,1422,23.7,0.395,"driving"
"Kuala Lumpur - Kepong,Ivory","Bukit Bintang, Kuala Lumpur",15459,15.459,9.6062226,1524,25.4,0.423333333333333,"driving"
"Kuala Lumpur - Setapak,KL Traders Square condo @ KL","Kuala Lumpur, TRX",9931,9.931,6.1711234,1090,18.1666666666667,0.302777777777778,"driving"
"Kuala Lumpur - Setapak,KL Traders Square condo @ KL","Kuala Lumpur City Centre",9631,9.631,5.9847034,1101,18.35,0.305833333333333,"driving"
"Kuala Lumpur - Setapak,KL Traders Square condo @ KL","Bukit Bintang, Kuala Lumpur",9750,9.75,6.05865,1113,18.55,0.309166666666667,"driving"
"Kuala Lumpur - Pandan Indah,Pandan Puteri Condominium","Kuala Lumpur, TRX",7809,7.809,4.8525126,1016,16.9333333333333,0.282222222222222,"driving"
"Kuala Lumpur - Pandan Indah,Pandan Puteri Condominium","Kuala Lumpur City Centre",10221,10.221,6.3513294,977,16.2833333333333,0.271388888888889,"driving"
"Kuala Lumpur - Pandan Indah,Pandan Puteri Condominium","Bukit Bintang, Kuala Lumpur",7242,7.242,4.5001788,1006,16.7666666666667,0.279444444444444,"driving"
"Kuala Lumpur - Sri Hartamas,Desa seri hartamas double storey terrece","Kuala Lumpur, TRX",12039,12.039,7.4810346,1145,19.0833333333333,0.318055555555556,"driving"
"Kuala Lumpur - Sri Hartamas,Desa seri hartamas double storey terrece","Kuala Lumpur City Centre",9538,9.538,5.9269132,933,15.55,0.259166666666667,"driving"
"Kuala Lumpur - Sri Hartamas,Desa seri hartamas double storey terrece","Bukit Bintang, Kuala Lumpur",11284,11.284,7.0118776,1035,17.25,0.2875,"driving"
"Kuala Lumpur - Kepong,Residensi Enesta Kepong","Kuala Lumpur, TRX",13600,13.6,8.45104,1386,23.1,0.385,"driving"
"Kuala Lumpur - Kepong,Residensi Enesta Kepong","Kuala Lumpur City Centre",10475,10.475,6.509165,1213,20.2166666666667,0.336944444444444,"driving"
"Kuala Lumpur - Kepong,Residensi Enesta Kepong","Bukit Bintang, Kuala Lumpur",12410,12.41,7.711574,1315,21.9166666666667,0.365277777777778,"driving"
"Kuala Lumpur - Mont Kiara,Lanai Kiara","Kuala Lumpur, TRX",13253,13.253,8.2354142,1262,21.0333333333333,0.350555555555556,"driving"
"Kuala Lumpur - Mont Kiara,Lanai Kiara","Kuala Lumpur City Centre",10752,10.752,6.6812928,1050,17.5,0.291666666666667,"driving"
"Kuala Lumpur - Mont Kiara,Lanai Kiara","Bukit Bintang, Kuala Lumpur",12498,12.498,7.7662572,1152,19.2,0.32,"driving"
"Kuala Lumpur - Bangsar,Gaya Bangsar","Kuala Lumpur, TRX",7060,7.06,4.387084,815,13.5833333333333,0.226388888888889,"driving"
"Kuala Lumpur - Bangsar,Gaya Bangsar","Kuala Lumpur City Centre",4166,4.166,2.5887524,549,9.15,0.1525,"driving"
"Kuala Lumpur - Bangsar,Gaya Bangsar","Bukit Bintang, Kuala Lumpur",6306,6.306,3.9185484,705,11.75,0.195833333333333,"driving"
"Kuala Lumpur - Brickfields,633 Residency","Kuala Lumpur, TRX",5361,5.361,3.3313254,705,11.75,0.195833333333333,"driving"
"Kuala Lumpur - Brickfields,633 Residency","Kuala Lumpur City Centre",2579,2.579,1.6025906,443,7.38333333333333,0.123055555555556,"driving"
"Kuala Lumpur - Brickfields,633 Residency","Bukit Bintang, Kuala Lumpur",4607,4.607,2.8627898,595,9.91666666666667,0.165277777777778,"driving"
"Kuala Lumpur - Sentul,Flat Sentul Utama, Jalan Dato Senu","Kuala Lumpur, TRX",10801,10.801,6.7117414,1111,18.5166666666667,0.308611111111111,"driving"
"Kuala Lumpur - Sentul,Flat Sentul Utama, Jalan Dato Senu","Kuala Lumpur City Centre",10994,10.994,6.8316716,1063,17.7166666666667,0.295277777777778,"driving"
"Kuala Lumpur - Sentul,Flat Sentul Utama, Jalan Dato Senu","Bukit Bintang, Kuala Lumpur",10621,10.621,6.5998894,1135,18.9166666666667,0.315277777777778,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont Kiara Complex Condo","Kuala Lumpur, TRX",13570,13.57,8.432398,1306,21.7666666666667,0.362777777777778,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont Kiara Complex Condo","Kuala Lumpur City Centre",11069,11.069,6.8782766,1095,18.25,0.304166666666667,"driving"
"Kuala Lumpur - Mont Kiara,Inspirasi Mont Kiara Complex Condo","Bukit Bintang, Kuala Lumpur",12815,12.815,7.963241,1197,19.95,0.3325,"driving"
"Kuala Lumpur - Mid Valley City,Northpoint Residences","Kuala Lumpur, TRX",7179,7.179,4.4610306,775,12.9166666666667,0.215277777777778,"driving"
"Kuala Lumpur - Mid Valley City,Northpoint Residences","Kuala Lumpur City Centre",4397,4.397,2.7322958,513,8.55,0.1425,"driving"
"Kuala Lumpur - Mid Valley City,Northpoint Residences","Bukit Bintang, Kuala Lumpur",6425,6.425,3.992495,665,11.0833333333333,0.184722222222222,"driving"
"Kuala Lumpur - Setapak,Banjaria Court","Kuala Lumpur, TRX",16252,16.252,10.0989928,1515,25.25,0.420833333333333,"driving"
"Kuala Lumpur - Setapak,Banjaria Court","Kuala Lumpur City Centre",16054,16.054,9.9759556,1589,26.4833333333333,0.441388888888889,"driving"
"Kuala Lumpur - Setapak,Banjaria Court","Bukit Bintang, Kuala Lumpur",16071,16.071,9.9865194,1538,25.6333333333333,0.427222222222222,"driving"
"Kuala Lumpur - KLCC,Hock Ann Mansion","Kuala Lumpur, TRX",7018,7.018,4.3609852,837,13.95,0.2325,"driving"
"Kuala Lumpur - KLCC,Hock Ann Mansion","Kuala Lumpur City Centre",4929,4.929,3.0628806,812,13.5333333333333,0.225555555555556,"driving"
"Kuala Lumpur - KLCC,Hock Ann Mansion","Bukit Bintang, Kuala Lumpur",6837,6.837,4.2485118,861,14.35,0.239166666666667,"driving"
"Kuala Lumpur - Mont Kiara,mont kiara pines","Kuala Lumpur, TRX",13205,13.205,8.205587,1331,22.1833333333333,0.369722222222222,"driving"
"Kuala Lumpur - Mont Kiara,mont kiara pines","Kuala Lumpur City Centre",10705,10.705,6.652087,1120,18.6666666666667,0.311111111111111,"driving"
"Kuala Lumpur - Mont Kiara,mont kiara pines","Bukit Bintang, Kuala Lumpur",12451,12.451,7.7370514,1221,20.35,0.339166666666667,"driving"
"Kuala Lumpur - Pandan Indah,Platinum Splendor Residensi Semarak","Kuala Lumpur, TRX",6086,6.086,3.7818404,764,12.7333333333333,0.212222222222222,"driving"
"Kuala Lumpur - Pandan Indah,Platinum Splendor Residensi Semarak","Kuala Lumpur City Centre",9449,9.449,5.8716086,1080,18,0.3,"driving"
"Kuala Lumpur - Pandan Indah,Platinum Splendor Residensi Semarak","Bukit Bintang, Kuala Lumpur",5905,5.905,3.669367,788,13.1333333333333,0.218888888888889,"driving"
"Kuala Lumpur - Keramat,Platinum Splendor - Kitchen Aircond Partly, Mindef Perkeso Ampang KL","Kuala Lumpur, TRX",6086,6.086,3.7818404,764,12.7333333333333,0.212222222222222,"driving"
"Kuala Lumpur - Keramat,Platinum Splendor - Kitchen Aircond Partly, Mindef Perkeso Ampang KL","Kuala Lumpur City Centre",9449,9.449,5.8716086,1080,18,0.3,"driving"
"Kuala Lumpur - Keramat,Platinum Splendor - Kitchen Aircond Partly, Mindef Perkeso Ampang KL","Bukit Bintang, Kuala Lumpur",5905,5.905,3.669367,788,13.1333333333333,0.218888888888889,"driving"
"Kuala Lumpur - Sungai Besi,Kita Impian","Kuala Lumpur, TRX",16427,16.427,10.2077378,1411,23.5166666666667,0.391944444444444,"driving"
"Kuala Lumpur - Sungai Besi,Kita Impian","Kuala Lumpur City Centre",15358,15.358,9.5434612,1386,23.1,0.385,"driving"
"Kuala Lumpur - Sungai Besi,Kita Impian","Bukit Bintang, Kuala Lumpur",14909,14.909,9.2644526,1437,23.95,0.399166666666667,"driving"
"Kuala Lumpur - OUG,Kita Impian","Kuala Lumpur, TRX",14388,14.388,8.9407032,1232,20.5333333333333,0.342222222222222,"driving"
"Kuala Lumpur - OUG,Kita Impian","Kuala Lumpur City Centre",13834,13.834,8.5964476,1209,20.15,0.335833333333333,"driving"
"Kuala Lumpur - OUG,Kita Impian","Bukit Bintang, Kuala Lumpur",13821,13.821,8.5883694,1222,20.3666666666667,0.339444444444444,"driving"
"Kuala Lumpur - Gombak,Sri Harmonis Apartment Gombak","Kuala Lumpur, TRX",6289,6.289,3.9079846,730,12.1666666666667,0.202777777777778,"driving"
"Kuala Lumpur - Gombak,Sri Harmonis Apartment Gombak","Kuala Lumpur City Centre",3394,3.394,2.1090316,464,7.73333333333333,0.128888888888889,"driving"
"Kuala Lumpur - Gombak,Sri Harmonis Apartment Gombak","Bukit Bintang, Kuala Lumpur",5534,5.534,3.4388276,620,10.3333333333333,0.172222222222222,"driving"
"Kuala Lumpur - Cheras,Plaza 393","Kuala Lumpur, TRX",6669,6.669,4.1441166,805,13.4166666666667,0.223611111111111,"driving"
"Kuala Lumpur - Cheras,Plaza 393","Kuala Lumpur City Centre",6092,6.092,3.7855688,729,12.15,0.2025,"driving"
"Kuala Lumpur - Cheras,Plaza 393","Bukit Bintang, Kuala Lumpur",5915,5.915,3.675581,696,11.6,0.193333333333333,"driving"
"Kuala Lumpur - Setapak,The Nest Residence","Kuala Lumpur, TRX",10110,10.11,6.282354,1099,18.3166666666667,0.305277777777778,"driving"
"Kuala Lumpur - Setapak,The Nest Residence","Kuala Lumpur City Centre",9809,9.809,6.0953126,1111,18.5166666666667,0.308611111111111,"driving"
"Kuala Lumpur - Setapak,The Nest Residence","Bukit Bintang, Kuala Lumpur",9929,9.929,6.1698806,1123,18.7166666666667,0.311944444444444,"driving"
