"from","to","m","km","miles","seconds","minutes","hours","mode"
"Kuala Lumpur - Bandar Menjalara,Menjalara 18","Bukit Bintang, Kuala Lumpur",16466,16.466,10.2319724,1405,23.4166666666667,0.390277777777778,"driving"
"Kuala Lumpur - Desa Pandan,G Residence @ Desa Pandan","Kuala Lumpur, TRX",4916,4.916,3.0548024,591,9.85,0.164166666666667,"driving"
"Kuala Lumpur - Desa Pandan,G Residence @ Desa Pandan","Kuala Lumpur City Centre",7528,7.528,4.6778992,1015,16.9166666666667,0.281944444444444,"driving"
"Kuala Lumpur - Desa Pandan,G Residence @ Desa Pandan","Bukit Bintang, Kuala Lumpur",4348,4.348,2.7018472,581,9.68333333333333,0.161388888888889,"driving"
"Kuala Lumpur - Old Klang Road,Greenpark","Kuala Lumpur, TRX",11700,11.7,7.27038,921,15.35,0.255833333333333,"driving"
"Kuala Lumpur - Old Klang Road,Greenpark","Kuala Lumpur City Centre",6693,6.693,4.1590302,673,11.2166666666667,0.186944444444444,"driving"
"Kuala Lumpur - Old Klang Road,Greenpark","Bukit Bintang, Kuala Lumpur",8721,8.721,5.4192294,825,13.75,0.229166666666667,"driving"
"Kuala Lumpur - Desa Pandan,Baiduri Apartment (Desa Pandan)","Kuala Lumpur, TRX",5091,5.091,3.1635474,663,11.05,0.184166666666667,"driving"
"Kuala Lumpur - Desa Pandan,Baiduri Apartment (Desa Pandan)","Kuala Lumpur City Centre",11416,11.416,7.0939024,958,15.9666666666667,0.266111111111111,"driving"
"Kuala Lumpur - Desa Pandan,Baiduri Apartment (Desa Pandan)","Bukit Bintang, Kuala Lumpur",4524,4.524,2.8112136,653,10.8833333333333,0.181388888888889,"driving"
"Kuala Lumpur - Setapak,Bennington Residences @ SkyArena","Kuala Lumpur, TRX",9399,9.399,5.8405386,1016,16.9333333333333,0.282222222222222,"driving"
"Kuala Lumpur - Setapak,Bennington Residences @ SkyArena","Kuala Lumpur City Centre",9099,9.099,5.6541186,1027,17.1166666666667,0.285277777777778,"driving"
"Kuala Lumpur - Setapak,Bennington Residences @ SkyArena","Bukit Bintang, Kuala Lumpur",9218,9.218,5.7280652,1039,17.3166666666667,0.288611111111111,"driving"
"Kuala Lumpur - Jalan Kuching,Sri Putramas","Kuala Lumpur, TRX",10273,10.273,6.3836422,935,15.5833333333333,0.259722222222222,"driving"
"Kuala Lumpur - Jalan Kuching,Sri Putramas","Kuala Lumpur City Centre",7148,7.148,4.4417672,762,12.7,0.211666666666667,"driving"
"Kuala Lumpur - Jalan Kuching,Sri Putramas","Bukit Bintang, Kuala Lumpur",9083,9.083,5.6441762,864,14.4,0.24,"driving"
"Kuala Lumpur - Setapak,Putra Villa","Kuala Lumpur, TRX",17989,17.989,11.1783646,1472,24.5333333333333,0.408888888888889,"driving"
"Kuala Lumpur - Setapak,Putra Villa","Kuala Lumpur City Centre",17722,17.722,11.0124508,1494,24.9,0.415,"driving"
"Kuala Lumpur - Setapak,Putra Villa","Bukit Bintang, Kuala Lumpur",17808,17.808,11.0658912,1495,24.9166666666667,0.415277777777778,"driving"
"Kuala Lumpur - KLCC,38 Bidara","Kuala Lumpur, TRX",1892,1.892,1.1756888,454,7.56666666666667,0.126111111111111,"driving"
"Kuala Lumpur - KLCC,38 Bidara","Kuala Lumpur City Centre",2387,2.387,1.4832818,585,9.75,0.1625,"driving"
"Kuala Lumpur - KLCC,38 Bidara","Bukit Bintang, Kuala Lumpur",1479,1.479,0.9190506,437,7.28333333333333,0.121388888888889,"driving"
"Kuala Lumpur - Ampang Hilir,3 Towers","Kuala Lumpur, TRX",6679,6.679,4.1503306,767,12.7833333333333,0.213055555555556,"driving"
"Kuala Lumpur - Ampang Hilir,3 Towers","Kuala Lumpur City Centre",7545,7.545,4.688463,998,16.6333333333333,0.277222222222222,"driving"
"Kuala Lumpur - Ampang Hilir,3 Towers","Bukit Bintang, Kuala Lumpur",6112,6.112,3.7979968,757,12.6166666666667,0.210277777777778,"driving"
"Kuala Lumpur - Sentul,One Maxim","Kuala Lumpur, TRX",11153,11.153,6.9304742,1142,19.0333333333333,0.317222222222222,"driving"
"Kuala Lumpur - Sentul,One Maxim","Kuala Lumpur City Centre",10886,10.886,6.7645604,1164,19.4,0.323333333333333,"driving"
